"leto","drzava","spol","starost","izobrazba","stevilo"
2007,"Italy","Males","20 do 29","0-2",698.8
2007,"Italy","Males","20 do 29","3-4",1183.6
2007,"Italy","Males","25 do 29","0-2",443.9
2007,"Italy","Males","25 do 29","3-4",713.8
2007,"Italy","Females","15 do 19","0-2",42.2
2007,"Italy","Females","15 do 19","3-4",31.8
2007,"Italy","Females","15 do 24","0-2",151.1
2007,"Italy","Females","15 do 24","3-4",375.5
2007,"Italy","Females","15 do 29","0-2",327.7
2007,"Italy","Females","15 do 29","3-4",934.4
2007,"Italy","Females","20 do 24","0-2",108.9
2007,"Italy","Females","20 do 24","3-4",343.7
2007,"Italy","Females","20 do 29","0-2",285.5
2007,"Italy","Females","20 do 29","3-4",902.6
2007,"Italy","Females","25 do 29","0-2",176.6
2007,"Italy","Females","25 do 29","3-4",558.9
2007,"Cyprus","Males","15 do 19","0-2",1.2
2007,"Cyprus","Males","15 do 19","3-4",0.6
2007,"Cyprus","Males","15 do 24","0-2",4.9
2007,"Cyprus","Males","15 do 24","3-4",10.9
2007,"Cyprus","Males","15 do 29","0-2",10.5
2007,"Cyprus","Males","15 do 29","3-4",22.5
2007,"Cyprus","Males","20 do 24","0-2",3.7
2007,"Cyprus","Males","20 do 24","3-4",10.3
2007,"Cyprus","Males","20 do 29","0-2",9.3
2007,"Cyprus","Males","20 do 29","3-4",21.9
2007,"Cyprus","Males","25 do 29","0-2",5.6
2007,"Cyprus","Males","25 do 29","3-4",11.6
2007,"Cyprus","Females","15 do 19","0-2",0.5
2007,"Cyprus","Females","15 do 19","3-4",1.3
2007,"Cyprus","Females","15 do 24","0-2",2
2007,"Cyprus","Females","15 do 24","3-4",7.3
2007,"Cyprus","Females","15 do 29","0-2",4.3
2007,"Cyprus","Females","15 do 29","3-4",14.9
2007,"Cyprus","Females","20 do 24","0-2",1.4
2007,"Cyprus","Females","20 do 24","3-4",6.1
2007,"Cyprus","Females","20 do 29","0-2",3.8
2007,"Cyprus","Females","20 do 29","3-4",13.6
2007,"Cyprus","Females","25 do 29","0-2",2.4
2007,"Cyprus","Females","25 do 29","3-4",7.5
2007,"Latvia","Males","15 do 19","0-2",9.8
2007,"Latvia","Males","15 do 19","3-4",3.3
2007,"Latvia","Males","15 do 24","0-2",24.8
2007,"Latvia","Males","15 do 24","3-4",42.3
2007,"Latvia","Males","15 do 29","0-2",40.2
2007,"Latvia","Males","15 do 29","3-4",78.6
2007,"Latvia","Males","20 do 24","0-2",14.9
2007,"Latvia","Males","20 do 24","3-4",39
2007,"Latvia","Males","20 do 29","0-2",30.4
2007,"Latvia","Males","20 do 29","3-4",75.3
2007,"Latvia","Males","25 do 29","0-2",15.5
2007,"Latvia","Males","25 do 29","3-4",36.3
2007,"Latvia","Females","15 do 19","0-2",4.2
2007,"Latvia","Females","15 do 19","3-4",4.8
2007,"Latvia","Females","15 do 24","0-2",9.2
2007,"Latvia","Females","15 do 24","3-4",36.1
2007,"Latvia","Females","15 do 29","0-2",14.1
2007,"Latvia","Females","15 do 29","3-4",61.8
2007,"Latvia","Females","20 do 24","0-2",5
2007,"Latvia","Females","20 do 24","3-4",31.3
2007,"Latvia","Females","20 do 29","0-2",9.9
2007,"Latvia","Females","20 do 29","3-4",57
2007,"Latvia","Females","25 do 29","0-2",4.9
2007,"Latvia","Females","25 do 29","3-4",25.6
2007,"Lithuania","Males","15 do 24","0-2",14.6
2007,"Lithuania","Males","15 do 24","3-4",45.7
2007,"Lithuania","Males","15 do 29","0-2",28
2007,"Lithuania","Males","15 do 29","3-4",89
2007,"Lithuania","Males","20 do 24","0-2",10.4
2007,"Lithuania","Males","20 do 24","3-4",43.2
2007,"Lithuania","Males","20 do 29","0-2",23.8
2007,"Lithuania","Males","20 do 29","3-4",86.5
2007,"Lithuania","Males","25 do 29","0-2",13.4
2007,"Lithuania","Males","25 do 29","3-4",43.3
2007,"Lithuania","Females","15 do 24","3-4",28.1
2007,"Lithuania","Females","15 do 29","0-2",10.7
2007,"Lithuania","Females","15 do 29","3-4",61
2007,"Lithuania","Females","20 do 24","3-4",26.5
2007,"Lithuania","Females","20 do 29","0-2",9.4
2007,"Lithuania","Females","20 do 29","3-4",59.5
2007,"Lithuania","Females","25 do 29","0-2",5.9
2007,"Lithuania","Females","25 do 29","3-4",33
2007,"Luxembourg","Males","15 do 19","0-2",1
2007,"Luxembourg","Males","15 do 24","0-2",3.4
2007,"Luxembourg","Males","15 do 24","3-4",3.3
2007,"Luxembourg","Males","15 do 29","0-2",6
2007,"Luxembourg","Males","15 do 29","3-4",9.7
2007,"Luxembourg","Males","20 do 24","0-2",2.4
2007,"Luxembourg","Males","20 do 24","3-4",3.2
2007,"Luxembourg","Males","20 do 29","0-2",5
2007,"Luxembourg","Males","20 do 29","3-4",9.6
2007,"Luxembourg","Males","25 do 29","0-2",2.6
2007,"Luxembourg","Males","25 do 29","3-4",6.3
2007,"Luxembourg","Females","15 do 24","0-2",1.5
2007,"Luxembourg","Females","15 do 24","3-4",2.8
2007,"Luxembourg","Females","15 do 29","0-2",3.3
2007,"Luxembourg","Females","15 do 29","3-4",7.9
2007,"Luxembourg","Females","20 do 24","0-2",1
2007,"Luxembourg","Females","20 do 24","3-4",2.6
2007,"Luxembourg","Females","20 do 29","0-2",2.8
2007,"Luxembourg","Females","20 do 29","3-4",7.7
2007,"Luxembourg","Females","25 do 29","0-2",1.8
2007,"Luxembourg","Females","25 do 29","3-4",5.1
2007,"Hungary","Males","15 do 19","0-2",5.7
2007,"Hungary","Males","15 do 19","3-4",5.5
2007,"Hungary","Males","15 do 24","0-2",29.8
2007,"Hungary","Males","15 do 24","3-4",113.3
2007,"Hungary","Males","15 do 29","0-2",58.7
2007,"Hungary","Males","15 do 29","3-4",331.7
2007,"Hungary","Males","20 do 24","0-2",24.1
2007,"Hungary","Males","20 do 24","3-4",107.7
2007,"Hungary","Males","20 do 29","0-2",53
2007,"Hungary","Males","20 do 29","3-4",326.2
2007,"Hungary","Males","25 do 29","0-2",28.9
2007,"Hungary","Males","25 do 29","3-4",218.5
2007,"Hungary","Females","15 do 19","3-4",4
2007,"Hungary","Females","15 do 24","0-2",11.6
2007,"Hungary","Females","15 do 24","3-4",77.2
2007,"Hungary","Females","15 do 29","0-2",27
2007,"Hungary","Females","15 do 29","3-4",205.1
2007,"Hungary","Females","20 do 24","0-2",9.7
2007,"Hungary","Females","20 do 24","3-4",73.2
2007,"Hungary","Females","20 do 29","0-2",25.1
2007,"Hungary","Females","20 do 29","3-4",201.1
2007,"Hungary","Females","25 do 29","0-2",15.4
2007,"Hungary","Females","25 do 29","3-4",127.9
2007,"Malta","Males","15 do 19","0-2",2.4
2007,"Malta","Males","15 do 19","3-4",1.1
2007,"Malta","Males","15 do 24","0-2",6.7
2007,"Malta","Males","15 do 24","3-4",6
2007,"Malta","Males","15 do 29","0-2",14.2
2007,"Malta","Males","15 do 29","3-4",9.1
2007,"Malta","Males","20 do 24","0-2",4.3
2007,"Malta","Males","20 do 24","3-4",4.9
2007,"Malta","Males","20 do 29","0-2",11.8
2007,"Malta","Males","20 do 29","3-4",8
2007,"Malta","Males","25 do 29","0-2",7.6
2007,"Malta","Males","25 do 29","3-4",3.1
2007,"Malta","Females","15 do 19","0-2",1.4
2007,"Malta","Females","15 do 19","3-4",1.5
2007,"Malta","Females","15 do 24","0-2",4.2
2007,"Malta","Females","15 do 24","3-4",6
2007,"Malta","Females","15 do 29","0-2",7.8
2007,"Malta","Females","15 do 29","3-4",8.6
2007,"Malta","Females","20 do 24","0-2",2.8
2007,"Malta","Females","20 do 24","3-4",4.5
2007,"Malta","Females","20 do 29","0-2",6.4
2007,"Malta","Females","20 do 29","3-4",7.1
2007,"Malta","Females","25 do 29","0-2",3.6
2007,"Malta","Females","25 do 29","3-4",2.7
2007,"Netherlands","Males","15 do 19","0-2",230.3
2007,"Netherlands","Males","15 do 19","3-4",58.9
2007,"Netherlands","Males","15 do 24","0-2",339.1
2007,"Netherlands","Males","15 do 24","3-4",294.6
2007,"Netherlands","Males","15 do 29","0-2",416.2
2007,"Netherlands","Males","15 do 29","3-4",511.6
2007,"Netherlands","Males","20 do 24","0-2",108.7
2007,"Netherlands","Males","20 do 24","3-4",235.8
2007,"Netherlands","Males","20 do 29","0-2",185.8
2007,"Netherlands","Males","20 do 29","3-4",452.7
2007,"Netherlands","Males","25 do 29","0-2",77.1
2007,"Netherlands","Males","25 do 29","3-4",216.9
2007,"Netherlands","Females","15 do 19","0-2",207.8
2007,"Netherlands","Females","15 do 19","3-4",72.6
2007,"Netherlands","Females","15 do 24","0-2",266
2007,"Netherlands","Females","15 do 24","3-4",304.8
2007,"Netherlands","Females","15 do 29","0-2",307.4
2007,"Netherlands","Females","15 do 29","3-4",483.5
2007,"Netherlands","Females","20 do 24","0-2",58.3
2007,"Netherlands","Females","20 do 24","3-4",232.1
2007,"Netherlands","Females","20 do 29","0-2",99.6
2007,"Netherlands","Females","20 do 29","3-4",410.9
2007,"Netherlands","Females","25 do 29","0-2",41.4
2007,"Netherlands","Females","25 do 29","3-4",178.8
2007,"Austria","Males","15 do 19","0-2",87.1
2007,"Austria","Males","15 do 19","3-4",16.6
2007,"Austria","Males","15 do 24","0-2",114.7
2007,"Austria","Males","15 do 24","3-4",159.8
2007,"Austria","Males","15 do 29","0-2",138.5
2007,"Austria","Males","15 do 29","3-4",325.6
2007,"Austria","Males","20 do 24","0-2",27.6
2007,"Austria","Males","20 do 24","3-4",143.2
2007,"Austria","Males","20 do 29","0-2",51.5
2007,"Austria","Males","20 do 29","3-4",308.9
2007,"Austria","Males","25 do 29","0-2",23.8
2007,"Austria","Males","25 do 29","3-4",165.7
2007,"Austria","Females","15 do 19","0-2",58.3
2007,"Austria","Females","15 do 19","3-4",25.5
2007,"Austria","Females","15 do 24","0-2",79.3
2007,"Austria","Females","15 do 24","3-4",163.7
2007,"Austria","Females","15 do 29","0-2",101.5
2007,"Austria","Females","15 do 29","3-4",294.5
2007,"Austria","Females","20 do 24","0-2",21
2007,"Austria","Females","20 do 24","3-4",138.2
2007,"Austria","Females","20 do 29","0-2",43.2
2007,"Austria","Females","20 do 29","3-4",269
2007,"Austria","Females","25 do 29","0-2",22.2
2007,"Austria","Females","25 do 29","3-4",130.8
2007,"Poland","Males","15 do 19","0-2",68.8
2007,"Poland","Males","15 do 19","3-4",35.6
2007,"Poland","Males","15 do 24","0-2",130.8
2007,"Poland","Males","15 do 24","3-4",654.1
2007,"Poland","Males","15 do 29","0-2",205.4
2007,"Poland","Males","15 do 29","3-4",1465.6
2007,"Poland","Males","20 do 24","0-2",62
2007,"Poland","Males","20 do 24","3-4",618.5
2007,"Poland","Males","20 do 29","0-2",136.6
2007,"Poland","Males","20 do 29","3-4",1430
2007,"Poland","Males","25 do 29","0-2",74.6
2007,"Poland","Males","25 do 29","3-4",811.5
2007,"Poland","Females","15 do 19","0-2",24.1
2007,"Poland","Females","15 do 19","3-4",35.3
2007,"Poland","Females","15 do 24","0-2",43.3
2007,"Poland","Females","15 do 24","3-4",481.3
2007,"Poland","Females","15 do 29","0-2",73.8
2007,"Poland","Females","15 do 29","3-4",947.7
2007,"Poland","Females","20 do 24","0-2",19.2
2007,"Poland","Females","20 do 24","3-4",446
2007,"Poland","Females","20 do 29","0-2",49.8
2007,"Poland","Females","20 do 29","3-4",912.4
2007,"Poland","Females","25 do 29","0-2",30.6
2007,"Poland","Females","25 do 29","3-4",466.4
2007,"Portugal","Males","15 do 19","0-2",41.3
2007,"Portugal","Males","15 do 19","3-4",5.8
2007,"Portugal","Males","15 do 24","0-2",171.9
2007,"Portugal","Males","15 do 24","3-4",59.1
2007,"Portugal","Males","15 do 29","0-2",363
2007,"Portugal","Males","15 do 29","3-4",128
2007,"Portugal","Males","20 do 24","0-2",130.5
2007,"Portugal","Males","20 do 24","3-4",53.2
2007,"Portugal","Males","20 do 29","0-2",321.6
2007,"Portugal","Males","20 do 29","3-4",122.2
2007,"Portugal","Males","25 do 29","0-2",191.1
2007,"Portugal","Males","25 do 29","3-4",69
2007,"Portugal","Females","15 do 19","0-2",22.5
2007,"Portugal","Females","15 do 19","3-4",5.7
2007,"Portugal","Females","15 do 24","0-2",99
2007,"Portugal","Females","15 do 24","3-4",61.8
2007,"Portugal","Females","15 do 29","0-2",210.1
2007,"Portugal","Females","15 do 29","3-4",130.6
2007,"Portugal","Females","20 do 24","0-2",76.5
2007,"Portugal","Females","20 do 24","3-4",56.1
2007,"Portugal","Females","20 do 29","0-2",187.6
2007,"Portugal","Females","20 do 29","3-4",124.8
2007,"Portugal","Females","25 do 29","0-2",111.1
2007,"Portugal","Females","25 do 29","3-4",68.8
2007,"Romania","Males","15 do 19","0-2",72.9
2007,"Romania","Males","15 do 19","3-4",31
2007,"Romania","Males","15 do 24","0-2",176.8
2007,"Romania","Males","15 do 24","3-4",272
2007,"Romania","Males","15 do 29","0-2",301.2
2007,"Romania","Males","15 do 29","3-4",675.2
2007,"Romania","Males","20 do 24","0-2",103.9
2007,"Romania","Males","20 do 24","3-4",241
2007,"Romania","Males","20 do 29","0-2",228.3
2007,"Romania","Males","20 do 29","3-4",644.2
2007,"Romania","Males","25 do 29","0-2",124.4
2007,"Romania","Males","25 do 29","3-4",403.2
2007,"Romania","Females","15 do 19","0-2",33
2007,"Romania","Females","15 do 19","3-4",19.5
2007,"Romania","Females","15 do 24","0-2",101.5
2007,"Romania","Females","15 do 24","3-4",186.6
2007,"Romania","Females","15 do 29","0-2",198.4
2007,"Romania","Females","15 do 29","3-4",497.7
2007,"Romania","Females","20 do 24","0-2",68.5
2007,"Romania","Females","20 do 24","3-4",167.1
2007,"Romania","Females","20 do 29","0-2",165.4
2007,"Romania","Females","20 do 29","3-4",478.2
