"ACL00","GEO","UNIT","AGE","SEX","TIME","FREQUENC","Value","Flag and Footnotes"
"Cinema","Denmark","Percentage","From 20 to 29 years","Total","2006","From 4 to 6 times","27.9",""
"Cinema","Denmark","Percentage","From 20 to 29 years","Total","2006","From 7 to 12 times","19.1",""
"Cinema","Denmark","Percentage","From 20 to 29 years","Total","2006","More than 12 times","8.2",""
"Cinema","Denmark","Percentage","From 25 to 29 years","Total","2006","Never","13.8",""
"Cinema","Denmark","Percentage","From 25 to 29 years","Total","2006","From 1 to 3 times","33",""
"Cinema","Denmark","Percentage","From 25 to 29 years","Total","2006","From 4 to 6 times","29.2",""
"Cinema","Denmark","Percentage","From 25 to 29 years","Total","2006","From 7 to 12 times","18.3",""
"Cinema","Denmark","Percentage","From 25 to 29 years","Total","2006","More than 12 times","5.7",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 19 years","Total","2006","Never","10",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 19 years","Total","2006","From 1 to 3 times","39",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 19 years","Total","2006","From 4 to 6 times","31.3",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 19 years","Total","2006","From 7 to 12 times","14.2",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 19 years","Total","2006","More than 12 times","5.5",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 24 years","Total","2006","Never","10.8",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 24 years","Total","2006","From 1 to 3 times","37",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 24 years","Total","2006","From 4 to 6 times","29.9",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 24 years","Total","2006","From 7 to 12 times","15.4",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 24 years","Total","2006","More than 12 times","6.9",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 29 years","Total","2006","Never","15.7",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 29 years","Total","2006","From 1 to 3 times","37.7",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 29 years","Total","2006","From 4 to 6 times","26.5",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 29 years","Total","2006","From 7 to 12 times","13.5",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 16 to 29 years","Total","2006","More than 12 times","6.5",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 20 to 24 years","Total","2006","Never","12.2",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 20 to 24 years","Total","2006","From 1 to 3 times","33.7",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 20 to 24 years","Total","2006","From 4 to 6 times","27.5",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 20 to 24 years","Total","2006","From 7 to 12 times","17.3",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 20 to 24 years","Total","2006","More than 12 times","9.2",""
"Cinema","Germany (until 1990 former territory of the FRG)","Percentage","From 20 to 29 years","Total","2006","Never","19.6",""
