"Prihodi in prenoèitve turistov po: OBÈINE, LETO, DRŽAVE, SKUPINE"
"NASTANITVENIH OBJEKTOV , MERITVE"

" ";" ";" ";"Skupine nastanitvenih objektov - SKUPAJ"
" ";" ";" ";"Prenoèitve turistov - SKUPAJ"
"SLOVENIJA"
" ";" ";"DRŽAVE - SKUPAJ";628491
" ";" ";"DOMAÈI";37955
" ";" ";"TUJI";590536
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";643975
" ";" ";"DOMAÈI";34079
" ";" ";"TUJI";609896
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";730074
" ";" ";"DOMAÈI";42007
" ";" ";"TUJI";688067
"Bohinj"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";334332
" ";" ";"DOMAÈI";142628
" ";" ";"TUJI";191704
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";341026
" ";" ";"DOMAÈI";136456
" ";" ";"TUJI";204570
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";344183
" ";" ";"DOMAÈI";125050
" ";" ";"TUJI";219133
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";315226
" ";" ";"DOMAÈI";111900
" ";" ";"TUJI";203326
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";370771
" ";" ";"DOMAÈI";127190
" ";" ";"TUJI";243581
"Bovec"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";224185
" ";" ";"DOMAÈI";70860
" ";" ";"TUJI";153325
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";214867
" ";" ";"DOMAÈI";66292
" ";" ";"TUJI";148575
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";203829
" ";" ";"DOMAÈI";43775
" ";" ";"TUJI";160054
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";162568
" ";" ";"DOMAÈI";26113
" ";" ";"TUJI";136455
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";198890
" ";" ";"DOMAÈI";35572
" ";" ";"TUJI";163318
"Cerklje na Gorenjskem"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";37143
" ";" ";"DOMAÈI";7848
" ";" ";"TUJI";29295
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";42959
" ";" ";"DOMAÈI";8962
" ";" ";"TUJI";33997
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";52771
" ";" ";"DOMAÈI";8777
" ";" ";"TUJI";43994
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";51328
" ";" ";"DOMAÈI";9324
" ";" ";"TUJI";42004
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";53174
" ";" ";"DOMAÈI";10010
" ";" ";"TUJI";43164
"Cerkno"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";31270
" ";" ";"DOMAÈI";17600
" ";" ";"TUJI";13670
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";40388
" ";" ";"DOMAÈI";23286
" ";" ";"TUJI";17102
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";33490
" ";" ";"DOMAÈI";18873
" ";" ";"TUJI";14617
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";26087
" ";" ";"DOMAÈI";15281
" ";" ";"TUJI";10806
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";42293
" ";" ";"DOMAÈI";26427
" ";" ";"TUJI";15866
"Èrna na Koroškem"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";493
" ";" ";"DOMAÈI";395
" ";" ";"TUJI";98
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";508
" ";" ";"DOMAÈI";471
" ";" ";"TUJI";37
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";1217
" ";" ";"DOMAÈI";1078
" ";" ";"TUJI";139
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";1022
" ";" ";"DOMAÈI";908
" ";" ";"TUJI";114
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";1082
" ";" ";"DOMAÈI";754
" ";" ";"TUJI";328
"Gorje"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";11225
" ";" ";"DOMAÈI";7266
" ";" ";"TUJI";3959
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";11912
" ";" ";"DOMAÈI";6919
" ";" ";"TUJI";4993
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";12347
" ";" ";"DOMAÈI";7105
" ";" ";"TUJI";5242
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";10618
" ";" ";"DOMAÈI";5529
" ";" ";"TUJI";5089
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";13563
" ";" ";"DOMAÈI";4824
" ";" ";"TUJI";8739
"Gornji Grad"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";z
" ";" ";"DOMAÈI";z
" ";" ";"TUJI";z
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";z
" ";" ";"DOMAÈI";z
" ";" ";"TUJI";z
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";699
" ";" ";"DOMAÈI";580
" ";" ";"TUJI";119
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";297
" ";" ";"DOMAÈI";218
" ";" ";"TUJI";79
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";342
" ";" ";"DOMAÈI";236
" ";" ";"TUJI";106
"Hoèe - Slivnica"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";65262
" ";" ";"DOMAÈI";39054
" ";" ";"TUJI";26208
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";61456
" ";" ";"DOMAÈI";34681
" ";" ";"TUJI";26775
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";61145
" ";" ";"DOMAÈI";34432
" ";" ";"TUJI";26713
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";48410
" ";" ";"DOMAÈI";26600
" ";" ";"TUJI";21810
" ";"2015"
" ";" ";"DRŽAVE - SKUPAJ";37989
" ";" ";"DOMAÈI";24956
" ";" ";"TUJI";13033
"Jesenice"
" ";"2011"
" ";" ";"DRŽAVE - SKUPAJ";8735
" ";" ";"DOMAÈI";7778
" ";" ";"TUJI";957
" ";"2012"
" ";" ";"DRŽAVE - SKUPAJ";8551
" ";" ";"DOMAÈI";7322
" ";" ";"TUJI";1229
" ";"2013"
" ";" ";"DRŽAVE - SKUPAJ";8599
" ";" ";"DOMAÈI";7102
" ";" ";"TUJI";1497
" ";"2014"
" ";" ";"DRŽAVE - SKUPAJ";8571
